"Time","""bitcoin dead""","""crypto dead""","""bitcoin is dead""","""crypto is dead""","""is bitcoin dead""","""is crypto dead"""
"2004-01-01",0,0,0,0,0,0
"2004-02-01",0,0,0,0,0,0
"2004-03-01",0,0,0,0,0,0
"2004-04-01",0,0,0,0,0,0
"2004-05-01",0,0,0,0,0,0
"2004-06-01",0,0,0,0,0,0
"2004-07-01",0,0,0,0,0,0
"2004-08-01",0,0,0,0,0,0
"2004-09-01",0,0,0,0,0,0
"2004-10-01",0,0,0,0,0,0
"2004-11-01",0,0,0,0,0,0
"2004-12-01",0,0,0,0,0,0
"2005-01-01",0,0,0,0,0,0
"2005-02-01",0,0,0,0,0,0
"2005-03-01",0,0,0,0,0,0
"2005-04-01",0,0,0,0,0,0
"2005-05-01",0,0,0,0,0,0
"2005-06-01",0,0,0,0,0,0
"2005-07-01",0,0,0,0,0,0
"2005-08-01",0,0,0,0,0,0
"2005-09-01",0,0,0,0,0,0
"2005-10-01",0,0,0,0,0,0
"2005-11-01",0,0,0,0,0,0
"2005-12-01",0,0,0,0,0,0
"2006-01-01",0,0,0,0,0,0
"2006-02-01",0,0,0,0,0,0
"2006-03-01",0,0,0,0,0,0
"2006-04-01",0,0,0,0,0,0
"2006-05-01",0,0,0,0,0,0
"2006-06-01",0,0,0,0,0,0
"2006-07-01",0,0,0,0,0,0
"2006-08-01",0,0,0,0,0,0
"2006-09-01",0,0,0,0,0,0
"2006-10-01",0,0,0,0,0,0
"2006-11-01",0,0,0,0,0,0
"2006-12-01",0,0,0,0,0,0
"2007-01-01",0,0,0,0,0,0
"2007-02-01",0,0,0,0,0,0
"2007-03-01",0,0,0,0,0,0
"2007-04-01",0,0,0,0,0,0
"2007-05-01",0,0,0,0,0,0
"2007-06-01",0,0,0,0,0,0
"2007-07-01",0,0,0,0,0,0
"2007-08-01",0,0,0,0,0,0
"2007-09-01",0,0,0,0,0,0
"2007-10-01",0,0,0,0,0,0
"2007-11-01",0,0,0,0,0,0
"2007-12-01",0,0,0,0,0,0
"2008-01-01",0,0,0,0,0,0
"2008-02-01",0,0,0,0,0,0
"2008-03-01",0,0,0,0,0,0
"2008-04-01",19,0,0,0,0,0
"2008-05-01",0,0,0,0,0,0
"2008-06-01",0,0,0,0,0,0
"2008-07-01",0,0,0,0,0,0
"2008-08-01",0,0,0,0,0,0
"2008-09-01",0,0,0,0,0,0
"2008-10-01",0,0,0,0,0,0
"2008-11-01",0,0,0,0,0,0
"2008-12-01",0,0,0,0,0,0
"2009-01-01",0,0,0,0,0,0
"2009-02-01",0,0,0,0,0,0
"2009-03-01",0,0,15,0,0,0
"2009-04-01",0,0,0,0,0,0
"2009-05-01",0,0,0,0,0,0
"2009-06-01",0,0,0,0,0,0
"2009-07-01",0,0,0,0,0,0
"2009-08-01",0,0,0,0,0,0
"2009-09-01",0,0,0,0,0,0
"2009-10-01",0,0,0,0,0,0
"2009-11-01",0,0,0,0,0,0
"2009-12-01",0,0,0,0,0,0
"2010-01-01",0,0,0,0,0,0
"2010-02-01",0,0,0,0,0,0
"2010-03-01",0,0,0,0,0,0
"2010-04-01",0,0,0,0,0,0
"2010-05-01",0,0,0,0,0,0
"2010-06-01",0,0,0,0,0,0
"2010-07-01",0,0,0,0,0,0
"2010-08-01",0,0,0,0,0,0
"2010-09-01",0,0,0,0,0,0
"2010-10-01",0,0,0,0,0,0
"2010-11-01",0,0,0,0,0,0
"2010-12-01",0,0,0,0,0,0
"2011-01-01",0,0,0,0,0,0
"2011-02-01",0,0,0,0,0,0
"2011-03-01",0,0,0,0,0,0
"2011-04-01",0,0,0,0,0,0
"2011-05-01",0,0,0,0,0,0
"2011-06-01",0,0,0,0,0,0
"2011-07-01",0,0,0,0,0,0
"2011-08-01",0,0,0,0,0,0
"2011-09-01",0,0,0,0,0,0
"2011-10-01",0,0,0,0,0,0
"2011-11-01",0,0,0,0,0,0
"2011-12-01",0,0,0,0,0,0
"2012-01-01",0,0,0,0,0,0
"2012-02-01",0,0,0,0,0,0
"2012-03-01",0,0,0,0,0,0
"2012-04-01",0,0,0,0,0,0
"2012-05-01",0,0,0,0,0,0
"2012-06-01",0,0,0,0,0,0
"2012-07-01",0,0,0,0,0,0
"2012-08-01",0,0,0,0,0,0
"2012-09-01",0,0,0,0,0,0
"2012-10-01",0,0,0,0,0,0
"2012-11-01",0,0,0,6,0,0
"2012-12-01",0,0,0,0,6,0
"2013-01-01",0,0,0,0,0,0
"2013-02-01",0,0,0,0,0,0
"2013-03-01",0,0,0,0,0,0
"2013-04-01",0,0,0,0,0,0
"2013-05-01",0,0,0,0,0,0
"2013-06-01",0,0,0,0,0,0
"2013-07-01",0,0,0,0,0,0
"2013-08-01",0,0,0,0,0,0
"2013-09-01",0,0,0,0,0,0
"2013-10-01",0,0,0,0,0,0
"2013-11-01",0,0,0,0,0,0
"2013-12-01",0,0,0,0,0,0
"2014-01-01",0,0,0,0,0,0
"2014-02-01",10,0,6,0,0,0
"2014-03-01",44,0,6,0,6,0
"2014-04-01",10,0,4,0,0,0
"2014-05-01",6,0,0,0,0,0
"2014-06-01",6,0,0,0,4,0
"2014-07-01",0,0,0,0,0,0
"2014-08-01",0,0,0,0,0,0
"2014-09-01",0,0,0,0,0,0
"2014-10-01",0,0,0,0,0,0
"2014-11-01",0,0,0,0,0,0
"2014-12-01",0,0,0,0,0,0
"2015-01-01",8,0,4,0,6,0
"2015-02-01",4,0,0,0,0,0
"2015-03-01",7,0,0,0,4,0
"2015-04-01",4,0,4,0,6,0
"2015-05-01",6,0,0,0,4,0
"2015-06-01",4,0,0,0,4,0
"2015-07-01",4,0,0,0,0,0
"2015-08-01",0,0,0,0,0,0
"2015-09-01",0,0,0,0,0,0
"2015-10-01",0,0,0,0,0,0
"2015-11-01",4,0,0,0,0,0
"2015-12-01",6,0,0,0,4,0
"2016-01-01",11,0,6,0,4,0
"2016-02-01",6,0,0,0,6,0
"2016-03-01",6,0,4,0,6,0
"2016-04-01",4,0,0,0,0,0
"2016-05-01",6,0,0,0,4,0
"2016-06-01",0,0,0,0,0,0
"2016-07-01",0,0,0,0,0,0
"2016-08-01",0,0,0,0,0,0
"2016-09-01",0,0,0,0,0,0
"2016-10-01",0,0,0,0,0,0
"2016-11-01",0,0,0,0,0,0
"2016-12-01",0,0,0,0,0,0
"2017-01-01",0,0,0,0,6,0
"2017-02-01",0,0,0,0,0,0
"2017-03-01",0,0,3,0,0,0
"2017-04-01",0,0,0,4,0,0
"2017-05-01",4,0,0,0,4,0
"2017-06-01",6,0,6,4,0,0
"2017-07-01",0,0,0,0,0,0
"2017-08-01",0,0,6,0,0,0
"2017-09-01",8,0,6,0,4,0
"2017-10-01",4,0,4,0,0,0
"2017-11-01",11,0,7,0,4,0
"2017-12-01",18,0,21,0,6,0
"2018-01-01",39,7,35,0,21,0
"2018-02-01",60,19,31,4,46,15
"2018-03-01",28,22,15,7,14,18
"2018-04-01",21,10,14,4,14,8
"2018-05-01",17,8,8,0,13,6
"2018-06-01",38,17,11,8,28,15
"2018-07-01",24,13,4,4,18,10
"2018-08-01",28,35,8,7,25,29
"2018-09-01",28,15,4,4,25,13
"2018-10-01",21,15,6,4,17,8
"2018-11-01",47,31,17,4,35,22
"2018-12-01",57,29,17,7,43,25
"2019-01-01",26,14,6,0,22,11
"2019-02-01",39,21,6,0,19,14
"2019-03-01",19,10,0,0,14,7
"2019-04-01",11,6,4,0,8,0
"2019-05-01",14,4,3,0,10,6
"2019-06-01",13,4,0,0,8,4
"2019-07-01",14,6,0,0,8,4
"2019-08-01",11,4,0,0,11,3
"2019-09-01",10,3,4,0,6,4
"2019-10-01",11,4,0,0,8,4
"2019-11-01",7,8,3,0,8,6
"2019-12-01",15,8,0,3,13,7
"2020-01-01",11,7,0,0,13,7
"2020-02-01",10,6,0,0,8,6
"2020-03-01",15,7,0,0,10,6
"2020-04-01",8,6,0,0,8,4
"2020-05-01",8,4,0,0,4,3
"2020-06-01",7,4,0,0,6,3
"2020-07-01",6,6,0,0,4,3
"2020-08-01",6,3,0,0,6,0
"2020-09-01",0,3,0,0,0,0
"2020-10-01",0,0,0,0,0,0
"2020-11-01",3,3,0,0,0,4
"2020-12-01",0,0,0,0,0,0
"2021-01-01",6,3,6,0,0,0
"2021-02-01",0,6,0,0,0,0
"2021-03-01",4,0,0,0,0,0
"2021-04-01",7,4,0,0,0,0
"2021-05-01",26,63,4,6,17,53
"2021-06-01",18,35,6,4,7,28
"2021-07-01",13,25,3,4,6,18
"2021-08-01",6,8,0,0,0,0
"2021-09-01",7,8,0,3,0,6
"2021-10-01",0,6,0,0,0,0
"2021-11-01",4,8,0,0,4,0
"2021-12-01",4,11,0,3,4,3
"2022-01-01",10,39,6,6,6,29
"2022-02-01",4,25,0,0,0,19
"2022-03-01",4,14,0,3,0,10
"2022-04-01",6,17,0,3,3,13
"2022-05-01",28,93,7,26,21,67
"2022-06-01",60,86,22,25,40,79
"2022-07-01",29,49,6,4,22,39
"2022-08-01",22,31,3,0,19,25
"2022-09-01",24,39,4,4,19,33
"2022-10-01",17,38,3,6,15,32
"2022-11-01",53,99,11,15,46,81
"2022-12-01",38,74,8,11,32,58
"2023-01-01",25,36,4,6,22,32
"2023-02-01",15,31,0,4,13,25
"2023-03-01",17,26,3,0,15,19
"2023-04-01",13,25,0,7,7,14
"2023-05-01",11,25,0,3,10,18
"2023-06-01",11,33,0,4,7,25
"2023-07-01",8,22,0,3,7,17
"2023-08-01",10,33,0,4,8,25
"2023-09-01",8,43,0,4,7,36
"2023-10-01",8,46,0,3,6,36
"2023-11-01",10,35,0,0,8,28
"2023-12-01",7,24,0,0,6,18
"2024-01-01",10,28,0,0,6,21
"2024-02-01",4,19,0,0,3,15
"2024-03-01",4,19,0,0,0,13
"2024-04-01",0,14,3,0,0,10
"2024-05-01",3,10,0,0,0,7
"2024-06-01",4,14,0,0,4,8
"2024-07-01",6,17,0,0,4,13
"2024-08-01",0,18,0,0,0,14
"2024-09-01",3,19,0,0,0,15
"2024-10-01",0,15,0,0,0,11
"2024-11-01",0,17,3,0,0,7
"2024-12-01",0,18,0,0,0,6
"2025-01-01",0,13,0,0,0,4
"2025-02-01",0,19,0,4,0,8
"2025-03-01",0,15,0,3,0,10
"2025-04-01",0,14,0,0,0,8
"2025-05-01",0,7,0,0,0,3
"2025-06-01",0,14,0,0,0,7
"2025-07-01",3,10,0,0,0,6
"2025-08-01",0,13,0,0,0,6
"2025-09-01",0,7,0,0,0,3
"2025-10-01",0,15,0,0,0,6
"2025-11-01",11,26,7,0,4,15
"2025-12-01",6,19,4,7,0,14
"2026-01-01",8,24,0,4,4,17
"2026-02-01",31,53,26,8,22,44
"2026-03-01",8,33,4,0,4,22
"2026-04-01",10,28,0,0,7,22
"2026-05-01",10,33,1,1,6,19